"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"SUM",1,"RC","Live",3,1,"HL",1,"TI",1,9,0,0,"SF","45807",NA
"WIL",1,"RC","Live",3,1,"HL",1,"NG",2,5,0,3,"HL","45812",NA
"SUM",1,"RC","Live",3,1,"HL",2,"NG",1,9,0,0,"SF","45807",NA
"WIL",1,"RC","Live",3,1,"HL",2,"TI",3,5,2,0,"HL","45812","1intact shriveled"
"SUM",1,"RC","Live",3,1,"HL",3,"BB",7,3,0,0,"SF","45807","1 intact may have just begun germinating"
"WIL",1,"RC","Live",3,1,"HL",3,"BB",4,6,0,0,"HL","45812",NA
"SUM",2,"BB","Live",2,2,"HL",1,"SR",2,6,0,2,"SF","45807","bag not fully sealed"
"WIL",2,"BB","Live",2,2,"HL",1,"SR",3,6,1,0,"SF","45812","1 intact in pieces"
"SUM",2,"BB","Live",2,2,"HL",2,"CR",7,3,0,0,"SF","45807","1 intact black, shriveled"
"WIL",2,"BB","Live",2,2,"HL",2,"CR",9,0,0,1,"SF","45812",NA
"SUM",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",3,"SR","Dead",2,3,"HL",1,"NG",6,4,0,0,"SF","45810","1 intact may be germ"
"WIL",3,"SR","Dead",2,3,"HL",1,"NG",3,7,0,0,"SF","45811",NA
"SUM",3,"SR","Dead",2,3,"HL",2,"BB",2,8,0,0,"SF","45810",NA
"WIL",3,"SR","Dead",2,3,"HL",2,"BB",3,7,0,0,"SF","45811",NA
"SUM",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",4,"CR","Dead",2,4,"HL",1,"TI",1,7,1,1,"HL","45810",NA
"WIL",4,"CR","Dead",2,4,"HL",1,"TI",2,8,0,0,"SF","45811","1 intact, black and mushy"
"SUM",4,"CR","Dead",2,4,"HL",2,"BB",4,6,0,0,"HL","45810",NA
"WIL",4,"CR","Dead",2,4,"HL",2,"BB",7,3,0,0,"SF","45811",NA
"SUM",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",5,"NG","Live",3,5,"HL",1,"NG",3,7,0,0,"SF","45810","1 intact black, shriveled"
"WIL",5,"NG","Live",3,5,"HL",1,"RC",3,7,0,0,"HL","45811","pink growth (fusarium)"
"SUM",5,"NG","Live",3,5,"HL",2,"RC",6,4,0,0,"SF","45810","1 intact shriveled"
"WIL",5,"NG","Live",3,5,"HL",2,"HR",4,4,0,2,"HL","45811","possibly another intact but got squished"
"SUM",5,"NG","Live",3,5,"HL",3,"HR",10,0,0,0,"SF","45810",NA
"WIL",5,"NG","Live",3,5,"HL",3,"NG",3,7,0,0,"HL","45811",NA
"SUM",6,"BB","Live",3,6,"HL",1,"BB",10,0,0,0,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",1,"BB",6,3,0,1,"SF","45812",NA
"SUM",6,"BB","Live",3,6,"HL",2,"RC",3,4,0,3,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",2,"RC",8,2,0,0,"SF","45812","intact are black/shriveled"
"SUM",6,"BB","Live",3,6,"HL",3,"HR",9,0,0,1,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",3,"HR",8,2,0,0,"SF","45812",NA
"SUM",7,"SR","Dead",3,7,"HL",1,"SR",3,6,1,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",1,"SR",1,9,0,0,"SF","45811",NA
"SUM",7,"SR","Dead",3,7,"HL",2,"HG",4,6,0,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",2,"HG",7,3,0,0,"SF","45811",NA
"SUM",7,"SR","Dead",3,7,"HL",3,"AH",9,1,0,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",3,"AH",8,1,1,0,"SF","45811",NA
"SUM",8,"BB","Live",3,8,"HL",1,"BB",10,0,0,0,"SF","45810",NA
"WIL",8,"BB","Live",3,8,"HL",1,"BB",8,2,0,0,"SF","45812",NA
"SUM",8,"BB","Live",3,8,"HL",2,"RC",3,6,0,1,"SF","45810","intact super shriveled"
"WIL",8,"BB","Live",3,8,"HL",2,"RC",5,4,0,1,"SF","45812","1 intact fell apart"
"SUM",8,"BB","Live",3,8,"HL",3,"HR",10,0,0,0,"SF","45810","white dots on intact"
"WIL",8,"BB","Live",3,8,"HL",3,"HR",8,2,0,0,"SF","45812","1 intact, white/fuzzy"
"SUM",9,"OH","Live",2,9,"HL",1,"TI",1,8,0,1,"SF","45810",NA
"WIL",9,"OH","Live",2,9,"HL",1,"TI",6,3,1,0,"HL","45811",NA
"SUM",9,"OH","Live",2,9,"HL",2,"NG",4,5,0,1,"SF","45810","germs in pieces, intact have white fuzz"
"WIL",9,"OH","Live",2,9,"HL",2,"NG",1,8,0,1,"HL","45811",NA
"SUM",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",10,"SR","Live",3,10,"HL",1,"SR",2,7,1,0,"SF","45810","1 intact dropped on counter"
"WIL",10,"SR","Live",3,10,"HL",1,"AH",10,1,0,0,"HL","45810","extra"
"SUM",10,"SR","Live",3,10,"HL",2,"HG",9,1,0,0,"SF","45810","1 intact could be germ"
"WIL",10,"SR","Live",3,10,"HL",2,"SR",9,0,0,1,"HL","45810",NA
"SUM",10,"SR","Live",3,10,"HL",3,"AH",10,0,0,0,"SF","45810",NA
"WIL",10,"SR","Live",3,10,"HL",3,"HG",10,1,0,0,"SF","45811","1 extra seed"
"SUM",11,"HR","Live",2,11,"HL",1,"HR",10,0,0,0,"SF","45810",NA
"WIL",11,"HR","Live",2,11,"HL",1,"HR",8,2,0,0,"SF","45812","black furry growth"
"SUM",11,"HR","Live",2,11,"HL",2,"HG",7,3,0,0,"SF","45810",NA
"WIL",11,"HR","Live",2,11,"HL",2,"HG",4,5,0,1,"SF","45812",NA
"SUM",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",11,"HR","Live",2,11,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",12,"AH","Live",3,12,"HL",1,"SR",7,3,0,0,"SF","45810",NA
"WIL",12,"AH","Live",3,12,"HL",1,"CR",6,3,1,0,"HL","45812","1 intact is flat"
"SUM",12,"AH","Live",3,12,"HL",2,"CR",7,3,0,0,"SF","45810",NA
"WIL",12,"AH","Live",3,12,"HL",2,"OH",8,2,0,0,"HL","45812",NA
"SUM",12,"AH","Live",3,12,"HL",3,"OH",9,0,0,1,"HL","45810","mystery seed material, could be from 10th seed"
"WIL",12,"AH","Live",3,12,"HL",3,"SR",4,3,3,0,"HL","45812",NA
"SUM",13,"HR","Dead",2,13,"HL",1,"HR",5,5,0,0,"SF","45806",NA
"WIL",13,"HR","Dead",2,13,"HL",1,"HR",7,2,1,0,"SF","45811",NA
"SUM",13,"HR","Dead",2,13,"HL",2,"HG",6,2,0,2,"SF","45806",NA
"WIL",13,"HR","Dead",2,13,"HL",2,"HG",7,3,0,0,"HL","45810",NA
"SUM",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",13,"HR","Dead",2,13,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",14,"HG","Live",3,14,"HL",1,"SR",0,8,1,1,"SF","45799",NA
"WIL",14,"HG","Live",3,14,"HL",1,"OH",5,5,0,0,"HL","45812",NA
"SUM",14,"HG","Live",3,14,"HL",2,"CR",9,1,0,0,"SF","45799",NA
"WIL",14,"HG","Live",3,14,"HL",2,"CR",7,2,0,1,"HL","45812",NA
"SUM",14,"HG","Live",3,14,"HL",3,"OH",9,0,0,1,"SF","45799",NA
"WIL",14,"HG","Live",3,14,"HL",3,"SR",2,8,0,0,"HL","45812",NA
"SUM",15,"HG","Live",3,15,"HL",1,"SR",4,6,0,0,"SF","45799","1 intact seed fell apart"
"WIL",15,"HG","Live",3,15,"HL",1,"OH",8,2,0,0,"HL","45812",NA
"SUM",15,"HG","Live",3,15,"HL",2,"CR",9,1,0,0,"SF","45799",NA
"WIL",15,"HG","Live",3,15,"HL",2,"CR",7,3,0,0,"HL","45812",NA
"SUM",15,"HG","Live",3,15,"HL",3,"OH",6,4,0,0,"SF","45799",NA
"WIL",15,"HG","Live",3,15,"HL",3,"SR",2,6,2,0,"HL","45812",NA
"SUM",16,"CR","Dead",3,16,"HL",1,"CR",4,6,0,0,"SF","45799","1 intact soft/black"
"WIL",16,"CR","Dead",3,16,"HL",1,"AH",9,1,0,0,"HL","45812","intact seeds black"
"SUM",16,"CR","Dead",3,16,"HL",2,"HG",8,2,0,0,"SF","45799","1 intact smushed"
"WIL",16,"CR","Dead",3,16,"HL",2,"CR",9,1,0,0,"HL","45812",NA
"SUM",16,"CR","Dead",3,16,"HL",3,"AH",8,2,0,0,"SF","45799","1 intact smushed, 1 intact very black"
"WIL",16,"CR","Dead",3,16,"HL",3,"HG",7,3,0,0,"HL","45812",NA
"SUM",17,"HR","Dead",3,17,"HL",1,"TI",5,2,1,2,"SF","45806",NA
"WIL",17,"HR","Dead",3,17,"HL",1,"TI",6,3,1,0,"SF","45812",NA
"SUM",17,"HR","Dead",3,17,"HL",2,"NG",9,0,1,0,"SF","45806",NA
"WIL",17,"HR","Dead",3,17,"HL",2,"NG",8,2,0,0,"SF","45812",NA
"SUM",17,"HR","Dead",3,17,"HL",3,"BB",9,1,0,0,"SF","45806",NA
"WIL",17,"HR","Dead",3,17,"HL",3,"BB",8,2,0,0,"SF","45812",NA
"SUM",18,"HR","Live",2,18,"HL",1,"HR",9,1,0,0,"SF","45807",NA
"WIL",18,"HR","Live",2,18,"HL",1,"HR",6,4,0,0,"SF","45811",NA
"SUM",18,"HR","Live",2,18,"HL",2,"HG",9,1,0,0,"SF","45807",NA
"WIL",18,"HR","Live",2,18,"HL",2,"HG",9,0,0,1,"SF","45811","2 intact black/mushy"
"SUM",18,"HR","Live",2,18,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",18,"HR","Live",2,18,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",19,"BB","Dead",3,19,"HL",1,"BB",5,5,0,0,"SF","45804",NA
"WIL",19,"BB","Dead",3,19,"HL",1,"RC",1,5,4,0,"HL","45811",NA
"SUM",19,"BB","Dead",3,19,"HL",2,"RC",5,5,0,0,"SF","45804",NA
"WIL",19,"BB","Dead",3,19,"HL",2,"HR",7,3,0,0,"HL","45811",NA
"SUM",19,"BB","Dead",3,19,"HL",3,"HR",6,4,0,0,"SF","45804",NA
"WIL",19,"BB","Dead",3,19,"HL",3,"BB",4,6,0,0,"HL","45811",NA
"SUM",20,"SR","Dead",2,20,"HL",1,"NG",2,6,2,0,"TN","45826",NA
"WIL",20,"SR","Dead",2,20,"HL",1,"NG",4,6,0,0,"HL","45811",NA
"SUM",20,"SR","Dead",2,20,"HL",2,"BB",5,5,0,0,"TN","45826",NA
"WIL",20,"SR","Dead",2,20,"HL",2,"BB",3,7,0,0,"HL","45811",NA
"SUM",20,"SR","Dead",2,20,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",20,"SR","Dead",2,20,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",21,"OH","Dead",3,21,"HL",1,"OH",7,3,0,0,"SF","45806","1 seed landed on counter"
"WIL",21,"OH","Dead",3,21,"HL",1,"OH",9,1,0,0,"SF","45812",NA
"SUM",21,"OH","Dead",3,21,"HL",2,"HG",9,0,1,0,"SF","45806","1 intact has white fuzz"
"WIL",21,"OH","Dead",3,21,"HL",2,"HG",10,0,0,0,"SF","45812",NA
"SUM",21,"OH","Dead",3,21,"HL",3,"AH",10,0,0,0,"SF","45806",NA
"WIL",21,"OH","Dead",3,21,"HL",3,"AH",10,0,0,0,"SF","45812",NA
"SUM",22,"TI","Live",3,22,"HL",1,"TI",2,8,0,0,"SF","45806","1 intact super shriveled"
"WIL",22,"TI","Live",3,22,"HL",1,"TI",2,7,0,1,"HL","45811",NA
"SUM",22,"TI","Live",3,22,"HL",2,"RC",1,8,0,1,"SF","45806",NA
"WIL",22,"TI","Live",3,22,"HL",2,"RC",6,4,0,0,"HL","45811",NA
"SUM",22,"TI","Live",3,22,"HL",3,"HR",6,4,0,0,"SF","45806",NA
"WIL",22,"TI","Live",3,22,"HL",3,"HR",8,2,0,0,"HL","45811",NA
"SUM",23,"OH","Live",3,23,"HL",1,"OH",3,3,0,4,"SF","45806",NA
"WIL",23,"OH","Live",3,23,"HL",1,"AH",7,2,0,1,"HL","45811",NA
"SUM",23,"OH","Live",3,23,"HL",2,"HG",6,2,0,2,"SF","45806",NA
"WIL",23,"OH","Live",3,23,"HL",2,"HG",3,3,0,4,"HL","45811","wet/mushy"
"SUM",23,"OH","Live",3,23,"HL",3,"AH",9,1,0,0,"SF","45806",NA
"WIL",23,"OH","Live",3,23,"HL",3,"OH",4,6,0,0,"HL","45811",NA
"SUM",24,"NG","Live",3,24,"HL",1,"NG",8,1,0,1,"SF","45806",NA
"WIL",24,"NG","Live",3,24,"HL",1,"RC",1,8,0,1,"HL","45810","very wet"
"SUM",24,"NG","Live",3,24,"HL",2,"RC",6,4,0,0,"SF","45806","intact shriveled"
"WIL",24,"NG","Live",3,24,"HL",2,"HR",3,7,0,0,"HL","45810",NA
"SUM",24,"NG","Live",3,24,"HL",3,"HR",8,2,0,0,"SF","45806",NA
"WIL",24,"NG","Live",3,24,"HL",3,"NG",4,2,3,1,"HL","45810",NA
"SUM",25,"RC","Live",3,25,"HL",1,"TI",2,5,2,1,"SF","45799",NA
"WIL",25,"RC","Live",3,25,"HL",1,"TI",3,7,0,0,"SF","45811","1 intact in two pieces"
"SUM",25,"RC","Live",3,25,"HL",2,"NG",2,8,0,0,"SF","45799","intact shriveled"
"WIL",25,"RC","Live",3,25,"HL",2,"NG",4,7,0,0,"SF","45811","extra seed"
"SUM",25,"RC","Live",3,25,"HL",3,"BB",3,7,0,0,"SF","45799",NA
"WIL",25,"RC","Live",3,25,"HL",3,"BB",6,4,0,0,"SF","45811","1 intact could be germ?"
"SUM",26,"AH","Live",2,26,"HL",1,"AH",8,1,0,1,"SF","45798","black ""hair"" on intact"
"WIL",26,"AH","Live",2,26,"HL",1,"RC",2,5,2,1,"HL","45811",NA
"SUM",26,"AH","Live",2,26,"HL",2,"RC",6,1,1,3,"SF","45798",NA
"WIL",26,"AH","Live",2,26,"HL",2,"AH",10,0,0,0,"HL","45811",NA
"SUM",26,"AH","Live",2,26,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",26,"AH","Live",2,26,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",27,"TI","Live",3,27,"HL",1,"TI",1,9,0,0,"SF","45804",NA
"WIL",27,"TI","Live",3,27,"HL",1,"HR",7,3,0,0,"HL","45811",NA
"SUM",27,"TI","Live",3,27,"HL",2,"RC",8,1,0,0,"SF","45804",NA
"WIL",27,"TI","Live",3,27,"HL",2,"TO",5,5,0,0,"HL","45811",NA
"SUM",27,"TI","Live",3,27,"HL",3,"HR",3,7,0,0,"SF","45804",NA
"WIL",27,"TI","Live",3,27,"HL",3,"RC",5,3,2,0,"HL","45811",NA
"SUM",28,"HG","Live",3,28,"HL",1,"SR",2,4,0,4,"SF","45798","bag not sealed"
"WIL",28,"HG","Live",3,28,"HL",1,"OH",5,3,1,1,"HL","45810",NA
"SUM",28,"HG","Live",3,28,"HL",2,"CR",6,4,0,0,"SF","45798",NA
"WIL",28,"HG","Live",3,28,"HL",2,"SR",3,1,5,1,"HL","45810","extra weird bag, had to guess a little bit"
"SUM",28,"HG","Live",3,28,"HL",3,"OH",7,2,0,1,"SF","45798",NA
"WIL",28,"HG","Live",3,28,"HL",3,"CR",8,0,1,1,"HL","45810",NA
"SUM",29,"AH","Dead",2,29,"HL",1,"AH",5,5,0,0,"SF","45798",NA
"WIL",29,"AH","Dead",2,29,"HL",1,"AH",7,3,0,0,"SF","45811","1 intact landed on counter, white dots"
"SUM",29,"AH","Dead",2,29,"HL",2,"RC",2,8,0,0,"SF","45798","1 intact shriveled"
"WIL",29,"AH","Dead",2,29,"HL",2,"RC",2,8,0,0,"SF","45811","1 intact shriveled"
"SUM",29,"AH","Dead",2,29,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",29,"AH","Dead",2,29,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",30,"CR","Live",2,30,"HL",1,"TI",6,4,0,0,"SF","45798","intact super shriveled"
"WIL",30,"CR","Live",2,30,"HL",1,"BB",5,5,0,0,"HL","45810",NA
"SUM",30,"CR","Live",2,30,"HL",2,"BB",1,9,0,0,"SF","45798",NA
"WIL",30,"CR","Live",2,30,"HL",2,"TI",3,7,0,0,"HL","45810","weird"
"SUM",30,"CR","Live",2,30,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",30,"CR","Live",2,30,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",1,"NG",1,8,0,1,"SF","45798",NA
"WIL",31,"SR","Live",2,31,"HL",1,"missing",NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",2,"BB",0,0,0,0,"SF","45798",NA
"WIL",31,"SR","Live",2,31,"HL",2,"missing",NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",31,"SR","Live",2,31,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",32,"NG","Dead",3,32,"HL",1,"NG",2,9,0,0,"SF","45804","extra seeds"
"WIL",32,"NG","Dead",3,32,"HL",1,"RC",3,3,4,0,"HL","45812",NA
"SUM",32,"NG","Dead",3,32,"HL",2,"RC",1,7,0,2,"SF","45804",NA
"WIL",32,"NG","Dead",3,32,"HL",2,"HR",4,6,0,0,"HL","45811","1 intact broken"
"SUM",32,"NG","Dead",3,32,"HL",3,"HR",4,6,0,0,"SF","45804",NA
"WIL",32,"NG","Dead",3,32,"HL",3,"NG",7,3,0,0,"HL","45812",NA
"SUM",33,"SR","Dead",3,33,"HL",1,"SR",3,6,0,1,"SF","45798",NA
"WIL",33,"SR","Dead",3,33,"HL",1,"SR",3,6,0,1,"SF","45811",NA
"SUM",33,"SR","Dead",3,33,"HL",2,"HG",10,0,0,0,"SF","45798",NA
"WIL",33,"SR","Dead",3,33,"HL",2,"HG",5,4,1,0,"SF","45811",NA
"SUM",33,"SR","Dead",3,33,"HL",3,"AH",10,0,0,0,"SF","45804",NA
"WIL",33,"SR","Dead",3,33,"HL",3,"AH",9,1,0,0,"SF","45811",NA
"SUM",34,"HG","Dead",3,34,"HL",1,"SR",3,7,0,0,"SF","45806","1 intact could be germ"
"WIL",34,"HG","Dead",3,34,"HL",1,"SR",1,8,1,0,"SF","45810",NA
"SUM",34,"HG","Dead",3,34,"HL",2,"CR",9,0,0,1,"SF","45806",NA
"WIL",34,"HG","Dead",3,34,"HL",2,"CR",6,3,0,1,"SF","45810",NA
"SUM",34,"HG","Dead",3,34,"HL",3,"OH",10,0,0,0,"SF","45798","1 intact could be germ"
"WIL",34,"HG","Dead",3,34,"HL",3,"OH",2,4,1,3,"SF","45810",NA
"SUM",35,"RC","Dead",2,35,"HL",1,"AH",8,2,0,0,"SF","45799",NA
"WIL",35,"RC","Dead",2,35,"HL",1,"RC",7,2,1,0,"SF","45804",NA
"SUM",35,"RC","Dead",2,35,"HL",2,"RC",1,9,0,0,"SF","45799",NA
"WIL",35,"RC","Dead",2,35,"HL",2,"AH",10,0,0,0,"SF","45804",NA
"SUM",35,"RC","Dead",2,35,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",35,"RC","Dead",2,35,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",36,"HG","Live",2,36,"HL",1,"HR",5,4,0,1,"SF","45799",NA
"WIL",36,"HG","Live",2,36,"HL",1,"HR",9,1,0,0,"HL","45810",NA
"SUM",36,"HG","Live",2,36,"HL",2,"HG",4,3,3,0,"SF","45799",NA
"WIL",36,"HG","Live",2,36,"HL",2,"HG",10,0,0,0,"HL","45810",NA
"SUM",36,"HG","Live",2,36,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",36,"HG","Live",2,36,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",37,"CR","Live",3,37,"HL",1,"CR",4,6,0,0,"SF","45799",NA
"WIL",37,"CR","Live",3,37,"HL",1,"HG",3,5,2,0,"HL","45810",NA
"SUM",37,"CR","Live",3,37,"HL",2,"HG",8,2,0,0,"SF","45799","intact are very shriveled"
"WIL",37,"CR","Live",3,37,"HL",2,"AH",7,3,0,0,"HL","45810","dropped 1 of the intact"
"SUM",37,"CR","Live",3,37,"HL",3,"AH",9,0,0,1,"SF","45799","1 intact seed fell apart"
"WIL",37,"CR","Live",3,37,"HL",3,"CR",6,4,0,0,"HL","45810",NA
"SUM",38,"AH","Dead",3,38,"HL",1,"SR",4,6,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",1,"SR",6,4,0,0,"SF","45811",NA
"SUM",38,"AH","Dead",3,38,"HL",2,"CR",8,2,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",2,"CR",8,2,0,0,"SF","45811",NA
"SUM",38,"AH","Dead",3,38,"HL",3,"OH",5,5,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",3,"OH",8,1,0,1,"SF","45811","some seeds sealed in hot glue"
"SUM",39,"CR","Live",3,39,"HL",1,"CR",6,4,0,0,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",1,"CR",5,3,2,0,"HL","45811",NA
"SUM",39,"CR","Live",3,39,"HL",2,"HG",5,3,0,2,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",2,"HG",5,4,1,0,"HL","45811",NA
"SUM",39,"CR","Live",3,39,"HL",3,"AH",7,3,0,0,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",3,"AH",9,2,0,0,"HL","45811",NA
"SUM",40,"AH","Live",3,40,"HL",1,"SR",5,5,0,0,"SF","45806","intact seeds mushy"
"WIL",40,"AH","Live",3,40,"HL",1,"SR",8,3,0,0,"SF","45812","1 extra seed"
