"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"SUM",40,"AH","Live",3,40,"HL",2,"CR",8,2,0,0,"SF","45806",NA
"WIL",40,"AH","Live",3,40,"HL",2,"CR",6,3,0,1,"SF","45812",NA
"SUM",40,"AH","Live",3,40,"HL",3,"OH",8,2,0,0,"SF","45806",NA
"WIL",40,"AH","Live",3,40,"HL",3,"OH",6,3,0,1,"SF","45812",NA
"SUM",41,"HR","Live",2,41,"HL",1,"HR",5,4,1,0,"TN","45825",NA
"WIL",41,"HR","Live",2,41,"HL",1,"HR",4,5,1,0,"TN","45827",NA
"SUM",41,"HR","Live",2,41,"HL",2,"HG",7,3,2,0,"TN","45825","bag was open"
"WIL",41,"HR","Live",2,41,"HL",2,"HG",7,1,2,0,"TN","45827",NA
"SUM",41,"HR","Live",2,41,"HL",3,NA,NA,NA,NA,NA,"TN",NA,NA
"WIL",41,"HR","Live",2,41,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",42,"SR","Live",3,42,"HL",1,"SR",1,7,2,0,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",1,"SR",0,8,2,0,"TN","45827",NA
"SUM",42,"SR","Live",3,42,"HL",2,"HG",7,1,7,0,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",2,"HG",5,5,0,0,"TN","45827",NA
"SUM",42,"SR","Live",3,42,"HL",3,"AH",9,0,0,1,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",3,"AH",5,2,0,3,"TN","45827",NA
"SUM",43,"OH","Live",2,43,"HL",1,"TI",4,5,1,0,"TN","45825",NA
"WIL",43,"OH","Live",2,43,"HL",1,"TI",2,5,3,0,"TN","45827",NA
"SUM",43,"OH","Live",2,43,"HL",2,"NG",0,3,0,0,"TN","45825",NA
"WIL",43,"OH","Live",2,43,"HL",2,"NG",7,3,0,0,"TN","45827","lost 1 intact seed"
"SUM",43,"OH","Live",2,43,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",43,"OH","Live",2,43,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",44,"NG","Live",2,44,"HL",1,"SR",8,2,0,0,"TN","45825",NA
"WIL",44,"NG","Live",2,44,"HL",1,"SR",6,4,0,0,"TN","45827",NA
"SUM",44,"NG","Live",2,44,"HL",2,"OH",10,0,0,0,"TN","45825",NA
"WIL",44,"NG","Live",2,44,"HL",2,"OH",7,3,0,0,"TN","45827",NA
"SUM",44,"NG","Live",2,44,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",44,"NG","Live",2,44,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",45,"RC","Live",2,45,"HL",1,"RC",0,9,1,0,"TN","45825",NA
"WIL",45,"RC","Live",2,45,"HL",1,"RC",0,10,0,0,"TN","45827",NA
"SUM",45,"RC","Live",2,45,"HL",2,"AH",9,1,0,0,"TN","45825",NA
"WIL",45,"RC","Live",2,45,"HL",2,"AH",6,3,1,0,"TN","45827",NA
"SUM",45,"RC","Live",2,45,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",45,"RC","Live",2,45,"HL",3,"CR",8,2,0,0,"TN","45827","extra bag not labeled on whirl pak"
"SUM",46,"BB","Dead",2,46,"HL",1,"SR",8,1,1,0,"TN","45826",NA
"WIL",46,"BB","Dead",2,46,"HL",1,"SR",4,5,1,0,"TN","45827",NA
"SUM",46,"BB","Dead",2,46,"HL",2,"CR",7,3,0,0,"TN","45826",NA
"WIL",46,"BB","Dead",2,46,"HL",2,"CR",6,2,2,0,"TN","45827",NA
"SUM",46,"BB","Dead",2,46,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",46,"BB","Dead",2,46,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",47,"HR","Dead",2,47,"HL",1,"HG",8,2,0,0,"HL","45845",NA
"WIL",47,"HR","Dead",2,47,"HL",1,"HR",7,0,3,0,"TN","45827",NA
"SUM",47,"HR","Dead",2,47,"HL",2,"HR",9,0,0,1,"HL","45845",NA
"WIL",47,"HR","Dead",2,47,"HL",2,"HG",5,5,0,0,"TN","45827",NA
"SUM",47,"HR","Dead",2,47,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",47,"HR","Dead",2,47,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",48,"OH","Live",3,48,"HL",1,"OH",7,3,0,0,"TN","45825",NA
"WIL",48,"OH","Live",3,48,"HL",1,"OH",6,0,4,0,"TN","45827",NA
"SUM",48,"OH","Live",3,48,"HL",2,"HG",8,0,2,0,"TN","45825",NA
"WIL",48,"OH","Live",3,48,"HL",2,"HG",6,4,0,0,"TN","45827",NA
"SUM",48,"OH","Live",3,48,"HL",3,"AH",5,1,3,0,"TN","45825",NA
"WIL",48,"OH","Live",3,48,"HL",3,"AH",9,0,1,0,"TN","45827",NA
"SUM",49,"BB","Live",2,49,"HL",1,"SR",2,8,0,0,"TN","45825",NA
"WIL",49,"BB","Live",2,49,"HL",1,"SR",1,7,2,0,"TN","45827",NA
"SUM",49,"BB","Live",2,49,"HL",2,"CR",7,3,0,0,"TN","45825",NA
"WIL",49,"BB","Live",2,49,"HL",2,"CR",7,3,0,0,"TN","45827",NA
"SUM",49,"BB","Live",2,49,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",49,"BB","Live",2,49,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",50,"HG","Dead",2,50,"HL",1,"HR",9,1,0,0,"HL","45845",NA
"WIL",50,"HG","Dead",2,50,"HL",1,"HG",2,4,2,1,"HL","45841",NA
"SUM",50,"HG","Dead",2,50,"HL",2,"HG",7,2,0,1,"HL","45845",NA
"WIL",50,"HG","Dead",2,50,"HL",2,"HR",0,0,0,0,"HL","45841","bag was open"
"SUM",50,"HG","Dead",2,50,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",50,"HG","Dead",2,50,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",51,"BB","Dead",2,51,"HL",1,"CR",5,4,0,1,"HL","45845",NA
"WIL",51,"BB","Dead",2,51,"HL",1,"SR",0,10,0,0,"HL","45841",NA
"SUM",51,"BB","Dead",2,51,"HL",2,"SR",0,8,0,2,"HL","45845",NA
"WIL",51,"BB","Dead",2,51,"HL",2,"CR",0,10,0,0,"HL","45841",NA
"SUM",51,"BB","Dead",2,51,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",51,"BB","Dead",2,51,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",52,"OH","Dead",3,52,"HL",1,"HG",3,3,2,2,"HL","45845","1 burst maybe broken intact"
"WIL",52,"OH","Dead",3,52,"HL",1,"OH",2,7,0,1,"HL","45841","wet"
"SUM",52,"OH","Dead",3,52,"HL",2,"OH",6,0,1,6,"HL","45845","tear in bag, 3 seeds found in whirlpak"
"WIL",52,"OH","Dead",3,52,"HL",2,"HG",5,4,0,1,"HL","45841",NA
"SUM",52,"OH","Dead",3,52,"HL",3,"AH",10,0,0,0,"HL","45845","white dots"
"WIL",52,"OH","Dead",3,52,"HL",3,"AH",7,3,0,0,"HL","45841",NA
"SUM",53,"HG","Dead",3,53,"HL",1,"CR",10,0,0,0,"HL","45845",NA
"WIL",53,"HG","Dead",3,53,"HL",1,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",53,"HG","Dead",3,53,"HL",2,"SR",7,3,0,0,"HL","45845",NA
"WIL",53,"HG","Dead",3,53,"HL",2,NA,0,NA,NA,NA,NA,NA,NA
"SUM",53,"HG","Dead",3,53,"HL",3,"OH",6,4,0,0,"HL","45845",NA
"WIL",53,"HG","Dead",3,53,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",54,"AH","Dead",3,54,"HL",1,"OH",9,1,0,0,"HL","45845",NA
"WIL",54,"AH","Dead",3,54,"HL",1,"OH",7,3,0,0,"HL","45841",NA
"SUM",54,"AH","Dead",3,54,"HL",2,"SR",7,3,0,0,"HL","45845","1 fell on bench"
"WIL",54,"AH","Dead",3,54,"HL",2,"SR",4,6,0,0,"HL","45841",NA
"SUM",54,"AH","Dead",3,54,"HL",3,"CR",8,2,0,0,"HL","45845",NA
"WIL",54,"AH","Dead",3,54,"HL",3,"CR",4,4,2,0,"HL","45841",NA
"SUM",55,"NG","Live",2,55,"HL",1,"SR",6,4,0,0,"TN","45824",NA
"WIL",55,"NG","Live",2,55,"HL",1,"SR",1,7,2,0,"TN","45827",NA
"SUM",55,"NG","Live",2,55,"HL",2,"OH",8,2,0,0,"TN","45824",NA
"WIL",55,"NG","Live",2,55,"HL",2,"OH",2,7,0,1,"TN","45827",NA
"SUM",55,"NG","Live",2,55,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",55,"NG","Live",2,55,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",56,"HR","Dead",3,56,"HL",1,"TI",5,5,0,0,"TN","45824",NA
"WIL",56,"HR","Dead",3,56,"HL",1,"BB",4,4,2,0,"HL","45841",NA
"SUM",56,"HR","Dead",3,56,"HL",2,"NG",4,2,1,3,"TN","45824",NA
"WIL",56,"HR","Dead",3,56,"HL",2,"TO",1,7,2,0,"HL","45841",NA
"SUM",56,"HR","Dead",3,56,"HL",3,"BB",0,0,0,0,"TN","45824",NA
"WIL",56,"HR","Dead",3,56,"HL",3,"NG",1,7,0,2,"HL","45841","wet, intact shriveled"
"SUM",57,"BB","Live",2,57,"HL",1,"SR",6,6,2,0,"TN","45825",NA
"WIL",57,"BB","Live",2,57,"HL",1,"SR",3,6,1,0,"TN","45827",NA
"SUM",57,"BB","Live",2,57,"HL",2,"CR",9,1,0,0,"TN","45825",NA
"WIL",57,"BB","Live",2,57,"HL",2,"CR",6,1,0,3,"TN","45827",NA
"SUM",57,"BB","Live",2,57,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",57,"BB","Live",2,57,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",58,"HR","Live",3,58,"HL",1,"TI",2,2,3,0,"TN","45825",NA
"WIL",58,"HR","Live",3,58,"HL",1,"TI",1,6,0,3,"TN","45827",NA
"SUM",58,"HR","Live",3,58,"HL",2,"NG",4,4,1,1,"TN","45825",NA
"WIL",58,"HR","Live",3,58,"HL",2,"NG",1,6,0,4,"TN","45827",NA
"SUM",58,"HR","Live",3,58,"HL",3,"BB",3,7,0,0,"TN","45825",NA
"WIL",58,"HR","Live",3,58,"HL",3,"BB",6,2,0,2,"TN","45827",NA
"SUM",59,"HG","Live",2,59,"HL",1,"HG",8,8,0,0,"TN","45825",NA
"WIL",59,"HG","Live",2,59,"HL",1,"HG",7,1,2,0,"TN","45827",NA
"SUM",59,"HG","Live",2,59,"HL",2,"HR",7,3,0,0,"TN","45825",NA
"WIL",59,"HG","Live",2,59,"HL",2,"HR",6,4,0,0,"TN","45827",NA
"SUM",59,"HG","Live",2,59,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",59,"HG","Live",2,59,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",60,"HR","Dead",2,60,"HL",1,"HR",7,7,0,0,"TN","45825",NA
"WIL",60,"HR","Dead",2,60,"HL",1,"HR",4,4,2,0,"TN","45826",NA
"SUM",60,"HR","Dead",2,60,"HL",2,"HG",4,3,3,0,"TN","45825",NA
"WIL",60,"HR","Dead",2,60,"HL",2,"HG",3,7,0,0,"TN","45826",NA
"SUM",60,"HR","Dead",2,60,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",60,"HR","Dead",2,60,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",61,"SR","Live",3,61,"HL",1,"SR",7,7,2,0,"TN","45824",NA
"WIL",61,"SR","Live",3,61,"HL",1,"SR",8,2,0,0,"TN","45827",NA
"SUM",61,"SR","Live",3,61,"HL",2,"HG",9,1,0,0,"TN","45824",NA
"WIL",61,"SR","Live",3,61,"HL",2,"HG",7,3,0,0,"TN","45827",NA
"SUM",61,"SR","Live",3,61,"HL",3,"AH",10,0,0,0,"TN","45824",NA
"WIL",61,"SR","Live",3,61,"HL",3,"AH",10,0,0,0,"TN","45827",NA
"SUM",62,"CR","Live",3,62,"HL",1,"AH",10,10,0,0,"HL","45824",NA
"WIL",62,"CR","Live",3,62,"HL",1,"CR",5,5,0,0,"TN","45827",NA
"SUM",62,"CR","Live",3,62,"HL",2,"CR",4,4,2,0,"HL","45824",NA
"WIL",62,"CR","Live",3,62,"HL",2,"HG",8,2,0,0,"TN","45827",NA
"SUM",62,"CR","Live",3,62,"HL",3,"HG",8,2,0,0,"HL","45824",NA
"WIL",62,"CR","Live",3,62,"HL",3,"AH",6,1,2,1,"TN","45827",NA
"SUM",63,"AH","Live",2,63,"HL",1,"RC",2,5,0,0,"HL","45824",NA
"WIL",63,"AH","Live",2,63,"HL",1,"AH",5,4,1,0,"TN","45827",NA
"SUM",63,"AH","Live",2,63,"HL",2,"AH",8,2,0,0,"HL","45824",NA
"WIL",63,"AH","Live",2,63,"HL",2,"RC",0,0,0,0,"TN","45827","missing"
"SUM",63,"AH","Live",2,63,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",63,"AH","Live",2,63,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",64,"NG","Dead",3,64,"HL",1,"HR",6,9,1,0,"HL","45824",NA
"WIL",64,"NG","Dead",3,64,"HL",1,"HR",1,5,0,4,"HL","45841",NA
"SUM",64,"NG","Dead",3,64,"HL",2,"NG",4,4,2,0,"HL","45824",NA
"WIL",64,"NG","Dead",3,64,"HL",2,"NG",1,9,0,0,"HL","45841",NA
"SUM",64,"NG","Dead",3,64,"HL",3,"RC",1,9,0,0,"HL","45824",NA
"WIL",64,"NG","Dead",3,64,"HL",3,"RC",1,6,0,3,"HL","45841",NA
"SUM",65,"SR","Live",2,65,"HL",1,"NG",3,3,2,1,"TN","45824",NA
"WIL",65,"SR","Live",2,65,"HL",1,"NG",0,9,1,0,"TN","45827",NA
"SUM",65,"SR","Live",2,65,"HL",2,"BB",7,3,0,0,"TN","45824",NA
"WIL",65,"SR","Live",2,65,"HL",2,"BB",1,8,1,0,"TN","45827",NA
"SUM",65,"SR","Live",2,65,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",65,"SR","Live",2,65,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",66,"RC","Live",3,66,"HL",1,"NG",4,4,0,0,"HL","45824",NA
"WIL",66,"RC","Live",3,66,"HL",1,"TI",2,5,3,0,"TN","45827",NA
"SUM",66,"RC","Live",3,66,"HL",2,"TI",1,3,4,2,"HL","45824",NA
"WIL",66,"RC","Live",3,66,"HL",2,"NG",4,6,0,0,"TN","45827",NA
"SUM",66,"RC","Live",3,66,"HL",3,"BB",6,3,0,1,"HL","45824",NA
"WIL",66,"RC","Live",3,66,"HL",3,"BB",5,4,1,0,"TN","45827",NA
"SUM",67,"BB","Live",3,67,"HL",1,"BB",6,6,0,0,"TN","45825",NA
"WIL",67,"BB","Live",3,67,"HL",1,"BB",9,1,0,0,"TN","45826",NA
"SUM",67,"BB","Live",3,67,"HL",2,"RC",2,7,0,1,"TN","45825",NA
"WIL",67,"BB","Live",3,67,"HL",2,"RC",3,7,0,0,"TN","45826",NA
"SUM",67,"BB","Live",3,67,"HL",3,"HR- A and B",-4,-1,0,-5,"TN","45825","HR  had 2 bags, I separated them into A and B"
"WIL",67,"BB","Live",3,67,"HL",3,"HR",0,5,2,3,"TN","45826",NA
"SUM",68,"AH","Dead",3,68,"HL",1,"OH",5,5,0,0,"HL","45824",NA
"WIL",68,"AH","Dead",3,68,"HL",1,"SR",2,7,1,0,"TN","45826",NA
"SUM",68,"AH","Dead",3,68,"HL",2,"SR",5,5,0,0,"HL","45824",NA
"WIL",68,"AH","Dead",3,68,"HL",2,"CR",5,4,1,0,"TN","45826",NA
"SUM",68,"AH","Dead",3,68,"HL",3,"CR",6,3,0,1,"HL","45824",NA
"WIL",68,"AH","Dead",3,68,"HL",3,"OH",5,4,1,0,"TN","45826",NA
"SUM",69,"AH","Live",3,69,"HL",1,"SR",0,0,1,0,"TN","45825",NA
"WIL",69,"AH","Live",3,69,"HL",1,"SR",3,4,2,1,"TN","45827",NA
"SUM",69,"AH","Live",3,69,"HL",2,"CR",4,6,0,0,"TN","45825",NA
"WIL",69,"AH","Live",3,69,"HL",2,"CR",8,1,0,1,"TN","45827",NA
"SUM",69,"AH","Live",3,69,"HL",3,"OH",2,6,2,0,"TN","45825",NA
"WIL",69,"AH","Live",3,69,"HL",3,"OH",7,3,0,0,"TN","45827","7 seeds had hairy fungus"
"SUM",70,"AH","Dead",2,70,"HL",1,"AH",9,9,0,1,"HL","45821","one dropped when opening"
"WIL",70,"AH","Dead",2,70,"HL",1,"AH",9,1,0,0,"TN","45827",NA
"SUM",70,"AH","Dead",2,70,"HL",2,"RC",4,5,1,0,"HL","45821",NA
"WIL",70,"AH","Dead",2,70,"HL",2,"RC",2,8,0,0,"TN","45827",NA
"SUM",70,"AH","Dead",2,70,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",70,"AH","Dead",2,70,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",71,"HR","Live",3,71,"HL",1,"BB",4,6,0,0,"HL","45821",NA
"WIL",71,"HR","Live",3,71,"HL",1,"TI",5,5,3,0,"TN","45826","bag had 13 seeds"
"SUM",71,"HR","Live",3,71,"HL",2,"NG",3,6,0,1,"HL","45821",NA
"WIL",71,"HR","Live",3,71,"HL",2,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",71,"HR","Live",3,71,"HL",3,"TI",0,10,0,0,"HL","45821",NA
"WIL",71,"HR","Live",3,71,"HL",3,NA,NA,NA,NA,NA,NA,NA,"2 bags missing"
"SUM",72,"NG","Dead",2,72,"HL",1,"SR",5,5,0,0,"HL","45821","2 shriveled, 1 broken"
"WIL",72,"NG","Dead",2,72,"HL",1,"SR",4,5,1,0,"TN","45827",NA
"SUM",72,"NG","Dead",2,72,"HL",2,"OH",4,5,1,0,"HL","45821",NA
"WIL",72,"NG","Dead",2,72,"HL",2,"OH",2,5,3,0,"TN","45827",NA
"SUM",72,"NG","Dead",2,72,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",72,"NG","Dead",2,72,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",73,"RC","Dead",2,73,"HL",1,"RC",1,8,1,0,"HL","45821",NA
"WIL",73,"RC","Dead",2,73,"HL",1,"AH",9,1,0,0,"TN","45841",NA
"SUM",73,"RC","Dead",2,73,"HL",2,"AH",22,3,0,0,"HL","45821","no idea what happened here"
"WIL",73,"RC","Dead",2,73,"HL",2,"RC",2,3,1,4,"HL","45841","bag partially open"
"SUM",73,"RC","Dead",2,73,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",73,"RC","Dead",2,73,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",74,"OH","Dead",2,74,"HL",1,"NG",5,4,0,1,"HL","45821",NA
"WIL",74,"OH","Dead",2,74,"HL",1,"TI",4,5,1,0,"TN","45826","1 intact seed wet and mushy"
"SUM",74,"OH","Dead",2,74,"HL",2,"TI",3,3,4,0,"HL","45821",NA
"WIL",74,"OH","Dead",2,74,"HL",2,"NG",6,1,3,0,"TN","45826",NA
"SUM",74,"OH","Dead",2,74,"HL",3,"HR",8,1,0,0,"HL","45821",NA
"WIL",74,"OH","Dead",2,74,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",75,"TI","Dead",3,75,"HL",1,"TI",7,3,0,0,"HL","45821",NA
"WIL",75,"TI","Dead",3,75,"HL",1,"TI",5,5,0,0,"HL","45841",NA
"SUM",75,"TI","Dead",3,75,"HL",2,"RC",4,3,3,0,"HL","45821",NA
"WIL",75,"TI","Dead",3,75,"HL",2,"RC",1,5,0,4,"HL","45841",NA
"SUM",75,"TI","Dead",3,75,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",75,"TI","Dead",3,75,"HL",3,"HR",5,5,0,0,"HL","45841",NA
"SUM",76,"OH","Dead",2,76,"HL",1,"NG",0,7,3,0,"HL","45821","large germs"
"WIL",76,"OH","Dead",2,76,"HL",1,"NG",6,2,0,2,"HL","45841",NA
"SUM",76,"OH","Dead",2,76,"HL",2,"TI",3,6,1,0,"HL","45821","intact small and flat"
"WIL",76,"OH","Dead",2,76,"HL",2,"TI",4,4,1,1,"HL","45841",NA
"SUM",76,"OH","Dead",2,76,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",76,"OH","Dead",2,76,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",77,"AH","Dead",2,77,"HL",1,"RC",3,4,1,1,"HL","45821",NA
"WIL",77,"AH","Dead",2,77,"HL",1,"RC",4,6,0,0,"HL","45841",NA
"SUM",77,"AH","Dead",2,77,"HL",2,"AH",7,3,0,0,"HL","45821","small white dots"
"WIL",77,"AH","Dead",2,77,"HL",2,"AH",10,0,0,0,"HL","45841",NA
"SUM",77,"AH","Dead",2,77,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",77,"AH","Dead",2,77,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",78,"TI","Dead",3,78,"HL",1,"HR",5,5,0,0,"HL","45820",NA
"WIL",78,"TI","Dead",3,78,"HL",1,"TI",5,5,0,0,"HL","45841",NA
"SUM",78,"TI","Dead",3,78,"HL",2,"RC",2,7,0,1,"HL","45820",NA
"WIL",78,"TI","Dead",3,78,"HL",2,"HR",6,4,0,0,"HL","45841",NA
"SUM",78,"TI","Dead",3,78,"HL",3,"TI",4,6,0,0,"HL","45820",NA
"WIL",78,"TI","Dead",3,78,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",79,"OH","Dead",3,79,"HL",1,"OH",7,2,0,1,"HL","45821",NA
"WIL",79,"OH","Dead",3,79,"HL",1,"OH",0,0,0,0,"TN","45826","bag missing"
"SUM",79,"OH","Dead",3,79,"HL",2,"HG",1,7,2,0,"HL","45729",NA
"WIL",79,"OH","Dead",3,79,"HL",2,"HG",0,0,0,0,"TN","45826","bag missing"
"SUM",79,"OH","Dead",3,79,"HL",3,"AH",8,1,0,1,"HL","45821","1 shriveled with white dots"
"WIL",79,"OH","Dead",3,79,"HL",3,"AH",0,0,0,0,"TN","45826","bag missing"
"SUM",80,"RC","Live",2,80,"HL",1,"AH",9,1,0,0,"HL","45820",NA
"WIL",80,"RC","Live",2,80,"HL",1,"RC",0,8,1,1,"TN","45826",NA
"SUM",80,"RC","Live",2,80,"HL",2,"RC",10,0,0,0,"HL","45820",NA
"WIL",80,"RC","Live",2,80,"HL",2,"AH",10,0,0,0,"TN","45826",NA
"SUM",80,"RC","Live",2,80,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",80,"RC","Live",2,80,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",81,"NG","Live",2,81,"HL",1,"SR",6,4,0,0,"HL","45821",NA
"WIL",81,"NG","Live",2,81,"HL",1,"SR",5,5,0,0,"TN","45831",NA
"SUM",81,"NG","Live",2,81,"HL",2,"OH",5,4,0,1,"HL","45821",NA
"WIL",81,"NG","Live",2,81,"HL",2,"OH",2,7,1,0,"TN","45826",NA
"SUM",81,"NG","Live",2,81,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",81,"NG","Live",2,81,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",82,"CR","Live",2,82,"HL",1,"TI",2,7,0,1,"HL","45820",NA
